,Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,Bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45,1,False
1,Ivysaur,2,Grass,Poison,405,60,62,63,80,80,60,1,False
2,Venusaur,3,Grass,Poison,525,80,82,83,100,100,80,1,False
3,VenusaurMega Venusaur,3-mega,Grass,Poison,625,80,100,123,122,120,80,1,False
4,Charmander,4,Fire,,309,39,52,43,60,50,65,1,False
5,Charmeleon,5,Fire,,405,58,64,58,80,65,80,1,False
6,Charizard,6,Fire,Flying,534,78,84,78,109,85,100,1,False
7,CharizardMega Charizard X,6-mega-x,Fire,Dragon,634,78,130,111,130,85,100,1,False
8,CharizardMega Charizard Y,6-mega-y,Fire,Flying,634,78,104,78,159,115,100,1,False
9,Squirtle,7,Water,,314,44,48,65,50,64,43,1,False
10,Wartortle,8,Water,,405,59,63,80,65,80,58,1,False
11,Blastoise,9,Water,,530,79,83,100,85,105,78,1,False
12,BlastoiseMega Blastoise,9-mega,Water,,630,79,103,120,135,115,78,1,False
13,Caterpie,10,Bug,,195,45,30,35,20,20,45,1,False
14,Metapod,11,Bug,,205,50,20,55,25,25,30,1,False
15,Butterfree,12,Bug,Flying,395,60,45,50,90,80,70,1,False
16,Weedle,13,Bug,Poison,195,40,35,30,20,20,50,1,False
17,Kakuna,14,Bug,Poison,205,45,25,50,25,25,35,1,False
18,Beedrill,15,Bug,Poison,395,65,90,40,45,80,75,1,False
19,BeedrillMega Beedrill,15-mega,Bug,Poison,495,65,150,40,15,80,145,1,False
20,Pidgey,16,Normal,Flying,251,40,45,40,35,35,56,1,False
21,Pidgeotto,17,Normal,Flying,349,63,60,55,50,50,71,1,False
22,Pidgeot,18,Normal,Flying,479,83,80,75,70,70,101,1,False
23,PidgeotMega Pidgeot,18-mega,Normal,Flying,579,83,80,80,135,80,121,1,False
24,Rattata,19,Normal,,253,30,56,35,25,35,72,1,False
25,Raticate,20,Normal,,413,55,81,60,50,70,97,1,False
26,Spearow,21,Normal,Flying,262,40,60,30,31,31,70,1,False
27,Fearow,22,Normal,Flying,442,65,90,65,61,61,100,1,False
28,Ekans,23,Poison,,288,35,60,44,40,54,55,1,False
29,Arbok,24,Poison,,438,60,85,69,65,79,80,1,False
30,Pikachu,25,Electric,,320,35,55,40,50,50,90,1,False
31,Raichu,26,Electric,,485,60,90,55,90,80,110,1,False
32,Sandshrew,27,Ground,,300,50,75,85,20,30,40,1,False
33,Sandslash,28,Ground,,450,75,100,110,45,55,65,1,False
34,Nidoran♀,29,Poison,,275,55,47,52,40,40,41,1,False
35,Nidorina,30,Poison,,365,70,62,67,55,55,56,1,False
36,Nidoqueen,31,Poison,Ground,505,90,92,87,75,85,76,1,False
37,Nidoran♂,32,Poison,,273,46,57,40,40,40,50,1,False
38,Nidorino,33,Poison,,365,61,72,57,55,55,65,1,False
39,Nidoking,34,Poison,Ground,505,81,102,77,85,75,85,1,False
40,Clefairy,35,Fairy,,323,70,45,48,60,65,35,1,False
41,Clefable,36,Fairy,,483,95,70,73,95,90,60,1,False
42,Vulpix,37,Fire,,299,38,41,40,50,65,65,1,False
43,Ninetales,38,Fire,,505,73,76,75,81,100,100,1,False
44,Jigglypuff,39,Normal,Fairy,270,115,45,20,45,25,20,1,False
45,Wigglytuff,40,Normal,Fairy,435,140,70,45,85,50,45,1,False
46,Zubat,41,Poison,Flying,245,40,45,35,30,40,55,1,False
47,Golbat,42,Poison,Flying,455,75,80,70,65,75,90,1,False
48,Oddish,43,Grass,Poison,320,45,50,55,75,65,30,1,False
49,Gloom,44,Grass,Poison,395,60,65,70,85,75,40,1,False
50,Vileplume,45,Grass,Poison,490,75,80,85,110,90,50,1,False
51,Paras,46,Bug,Grass,285,35,70,55,45,55,25,1,False
52,Parasect,47,Bug,Grass,405,60,95,80,60,80,30,1,False
53,Venonat,48,Bug,Poison,305,60,55,50,40,55,45,1,False
54,Venomoth,49,Bug,Poison,450,70,65,60,90,75,90,1,False
55,Diglett,50,Ground,,265,10,55,25,35,45,95,1,False
56,Dugtrio,51,Ground,,405,35,80,50,50,70,120,1,False
57,Meowth,52,Normal,,290,40,45,35,40,40,90,1,False
58,Persian,53,Normal,,440,65,70,60,65,65,115,1,False
59,Psyduck,54,Water,,320,50,52,48,65,50,55,1,False
60,Golduck,55,Water,,500,80,82,78,95,80,85,1,False
61,Mankey,56,Fighting,,305,40,80,35,35,45,70,1,False
62,Primeape,57,Fighting,,455,65,105,60,60,70,95,1,False
63,Growlithe,58,Fire,,350,55,70,45,70,50,60,1,False
64,Arcanine,59,Fire,,555,90,110,80,100,80,95,1,False
65,Poliwag,60,Water,,300,40,50,40,40,40,90,1,False
66,Poliwhirl,61,Water,,385,65,65,65,50,50,90,1,False
67,Poliwrath,62,Water,Fighting,510,90,95,95,70,90,70,1,False
68,Abra,63,Psychic,,310,25,20,15,105,55,90,1,False
69,Kadabra,64,Psychic,,400,40,35,30,120,70,105,1,False
70,Alakazam,65,Psychic,,500,55,50,45,135,95,120,1,False
71,AlakazamMega Alakazam,65-mega,Psychic,,590,55,50,65,175,95,150,1,False
72,Machop,66,Fighting,,305,70,80,50,35,35,35,1,False
73,Machoke,67,Fighting,,405,80,100,70,50,60,45,1,False
74,Machamp,68,Fighting,,505,90,130,80,65,85,55,1,False
75,Bellsprout,69,Grass,Poison,300,50,75,35,70,30,40,1,False
76,Weepinbell,70,Grass,Poison,390,65,90,50,85,45,55,1,False
77,Victreebel,71,Grass,Poison,490,80,105,65,100,70,70,1,False
78,Tentacool,72,Water,Poison,335,40,40,35,50,100,70,1,False
79,Tentacruel,73,Water,Poison,515,80,70,65,80,120,100,1,False
80,Geodude,74,Rock,Ground,300,40,80,100,30,30,20,1,False
81,Graveler,75,Rock,Ground,390,55,95,115,45,45,35,1,False
82,Golem,76,Rock,Ground,495,80,120,130,55,65,45,1,False
83,Ponyta,77,Fire,,410,50,85,55,65,65,90,1,False
84,Rapidash,78,Fire,,500,65,100,70,80,80,105,1,False
85,Slowpoke,79,Water,Psychic,315,90,65,65,40,40,15,1,False
86,Slowbro,80,Water,Psychic,490,95,75,110,100,80,30,1,False
87,SlowbroMega Slowbro,80-mega,Water,Psychic,590,95,75,180,130,80,30,1,False
88,Magnemite,81,Electric,Steel,325,25,35,70,95,55,45,1,False
89,Magneton,82,Electric,Steel,465,50,60,95,120,70,70,1,False
90,Farfetch'd,83,Normal,Flying,352,52,65,55,58,62,60,1,False
